"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Christian McCaffrey","SF","RB","25.1","22.0","18.1","21.0","24.0","Main","40.5","36.6"
"Puka Nacua","LA","WR","24.2","20.0","14.3","18.5","22.7","Main","40.2","34.3"
"Josh Allen","BUF","QB","23.4","23.2","22.6","22.6","22.6","Main","35.1","35.1"
"Lamar Jackson","BAL","QB","22.8","22.5","21.7","21.7","21.7","Main","35.3","35.2"
"Justin Herbert","LAC","QB","20.6","20.3","19.4","19.4","19.4","Main","31.7","31.6"
"De'Von Achane","MIA","RB","20.6","17.8","14.5","17.2","19.9","Monday","34.4","30.7"
"Jalen Hurts","PHI","QB","20.6","20.3","19.9","19.9","19.9","Main","31.4","31.3"
"Jonathan Taylor","IND","RB","20.5","19.1","16.6","17.9","19.2","Main","33.8","32.0"
"Patrick Mahomes","KC","QB","20.5","20.2","19.4","19.4","19.4","Main","31.2","31.2"
"Bijan Robinson","ATL","RB","20.4","18.5","15.8","17.6","19.4","Main","34.7","32.2"
"Bo Nix","DEN","QB","20.3","20.1","19.5","19.5","19.5","Monday","31.1","31.1"
"Josh Jacobs","GB","RB","19.7","18.3","16.1","17.3","18.6","Sunday","32.7","30.9"
"James Cook","BUF","RB","19.6","18.3","16.2","17.3","18.4","Main","33.1","31.5"
"Caleb Williams","CHI","QB","19.6","19.3","18.8","18.8","18.8","Main","30.3","30.2"
"Drake Maye","NE","QB","19.6","19.3","18.8","18.8","18.8","Main","30.5","30.4"
"Brock Purdy","SF","QB","19.4","19.2","18.3","18.3","18.3","Main","29.7","29.7"
"Justin Fields","NYJ","QB","19.2","18.9","18.5","18.5","18.5","Monday","30.1","30.0"
"Jaxon Smith-Njigba","SEA","WR","19.2","15.8","11.5","14.8","18.2","Thursday","33.4","28.6"
"Kyler Murray","ARI","QB","18.8","18.5","18.0","18.0","18.0","Thursday","29.3","29.2"
"Jahmyr Gibbs","DET","RB","18.8","16.9","14.4","16.3","18.1","Main","32.9","30.3"
"Geno Smith","LV","QB","18.8","18.5","17.8","17.8","17.8","Main","29.2","29.2"
"Matthew Stafford","LA","QB","18.6","18.4","17.4","17.4","17.4","Main","28.8","28.7"
"Jordan Love","GB","QB","18.3","18.1","17.4","17.4","17.4","Sunday","29.1","29.1"
"Saquon Barkley","PHI","RB","18.3","16.9","14.6","15.9","17.1","Main","31.3","29.6"
"Marcus Mariota","WAS","QB","17.9","17.6","17.3","17.3","17.3","Main","28.0","27.9"
"Daniel Jones","IND","QB","17.5","17.2","16.7","16.7","16.7","Main","28.0","27.9"
"Davante Adams","LA","WR","17.4","14.6","11.0","13.8","16.6","Main","31.4","27.2"
"Amon-Ra St Brown","DET","WR","17.3","14.4","10.8","13.7","16.7","Main","31.6","27.3"
"Malik Nabers","NYG","WR","17.2","14.2","10.4","13.4","16.4","Main","30.2","25.8"
"Justin Jefferson","MIN","WR","17.1","14.1","10.4","13.3","16.3","Other","30.8","26.4"
"Jared Goff","DET","QB","17.0","16.9","16.3","16.3","16.3","Main","27.4","27.4"
"Baker Mayfield","TB","QB","17.0","16.8","16.3","16.3","16.3","Main","26.8","26.7"
"Bucky Irving","TB","RB","17.0","15.0","12.6","14.4","16.2","Main","29.2","26.6"
"Jaxson Dart","NYG","QB","16.8","16.5","16.1","16.1","16.1","Main","26.4","26.3"
"Ashton Jeanty","LV","RB","16.6","15.2","13.4","14.6","15.8","Main","28.7","27.0"
"Jordan Mason","MIN","RB","16.6","15.3","13.3","14.4","15.6","Other","28.6","27.0"
"Nico Collins","HOU","WR","16.5","13.8","10.3","13.0","15.8","Main","30.1","26.0"
"Omarion Hampton","LAC","RB","16.4","15.0","13.0","14.3","15.7","Main","29.0","27.2"
"Kyren Williams","LA","RB","16.4","15.1","13.4","14.5","15.6","Main","28.5","26.9"
"Ja'Marr Chase","CIN","WR","16.3","13.3","9.5","12.6","15.6","Monday","29.1","24.6"
"Jakobi Meyers","LV","WR","16.3","13.4","9.8","12.7","15.6","Main","29.6","25.2"
"Zay Flowers","BAL","WR","16.2","13.4","10.0","12.7","15.4","Main","30.4","26.3"
"CJ Stroud","HOU","QB","16.2","15.9","15.5","15.5","15.5","Main","25.6","25.6"
"Trevor Lawrence","JAX","QB","16.1","15.9","15.3","15.3","15.3","Main","25.5","25.4"
"Trey Benson","ARI","RB","15.9","14.2","12.1","13.7","15.3","Thursday","27.9","25.6"
"Derrick Henry","BAL","RB","15.9","15.3","13.9","14.3","14.8","Main","28.5","27.8"
"Courtland Sutton","DEN","WR","15.9","13.5","10.4","12.8","15.3","Monday","29.3","25.6"
"AJ Brown","PHI","WR","15.9","13.1","9.6","12.4","15.2","Main","29.2","25.0"
"Rome Odunze","CHI","WR","15.8","13.3","10.2","12.6","15.1","Main","29.0","25.2"
"Carson Wentz","MIN","QB","15.8","15.5","15.2","15.2","15.2","Other","25.1","25.1"
"Chase Brown","CIN","RB","15.7","14.0","12.0","13.5","15.0","Monday","26.8","24.7"
"Trey McBride","ARI","TE","15.6","12.3","8.4","11.8","15.1","Thursday","27.2","22.3"
"Garrett Wilson","NYJ","WR","15.6","12.7","9.3","12.2","15.0","Monday","28.0","23.8"
"Jake Browning","CIN","QB","15.5","15.2","14.7","14.7","14.7","Monday","24.7","24.7"
"Tua Tagovailoa","MIA","QB","15.5","15.3","14.8","14.8","14.8","Monday","25.0","24.9"
