"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","@NYG","25.8","23.1","24.7","19.3","21.9","24.5","41.5","38.0","Main"
"Jonathan Taylor","RB","IND","@PIT","24.0","22.5","22.7","19.7","21.1","22.5","39.6","37.8","Main"
"Ja'Marr Chase","WR","CIN","CHI","23.8","19.3","22.6","13.6","18.1","22.5","39.0","32.9","Main"
"Patrick Mahomes","QB","KC","@BUF","23.5","23.2","24.4","21.5","21.5","21.5","35.0","34.9","Main"
"Jaxon Smith-Njigba","WR","SEA","@WAS","23.1","19.4","21.6","14.3","18.0","21.6","38.6","33.4","Sunday"
"Puka Nacua","WR","LA","NO","22.9","18.9","21.5","13.6","17.6","21.5","38.2","32.7","Main"
"Lamar Jackson","QB","BAL","@MIA","22.7","22.5","23.9","21.4","21.4","21.4","35.1","35.0","Thursday"
"Josh Allen","QB","BUF","KC","22.7","22.5","23.8","21.3","21.3","21.3","34.5","34.4","Main"
"Jayden Daniels","QB","WAS","SEA","21.9","21.6","22.9","20.3","20.3","20.3","33.3","33.2","Sunday"
"Dak Prescott","QB","DAL","ARI","21.8","21.6","22.8","19.8","19.8","19.8","32.7","32.7","Monday"
"Bijan Robinson","RB","ATL","@NE","21.7","19.2","20.9","16.0","18.4","20.8","36.0","32.8","Main"
"De'Von Achane","RB","MIA","BAL","21.4","18.5","20.8","15.3","18.0","20.7","35.1","31.5","Thursday"
"Drake Maye","QB","NE","ATL","21.1","20.8","22.2","19.6","19.6","19.6","32.0","31.9","Main"
"Justin Herbert","QB","LAC","@TEN","21.0","20.8","22.1","19.3","19.3","19.3","32.0","31.9","Main"
"Caleb Williams","QB","CHI","@CIN","20.7","20.5","21.8","19.2","19.2","19.2","31.8","31.7","Main"
"CeeDee Lamb","WR","DAL","ARI","20.4","16.9","19.4","12.4","15.9","19.4","35.3","30.4","Monday"
