"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","CAR","25.8","23.0","24.8","19.5","22.1","24.7","41.9","38.3","Monday"
"Drake Maye","QB","NE","@CIN","23.2","22.9","24.3","21.5","21.5","21.5","34.7","34.6","Main"
"Jahmyr Gibbs","RB","DET","NYG","23.0","21.0","22.0","18.1","20.0","21.9","38.7","36.2","Main"
"Puka Nacua","WR","LA","TB","23.0","19.0","21.7","13.7","17.7","21.6","38.2","32.6","Sunday"
"Amon-Ra St Brown","WR","DET","NYG","22.8","19.1","21.7","14.2","17.9","21.7","38.9","33.6","Main"
"Patrick Mahomes","QB","KC","IND","22.7","22.5","23.7","20.8","20.8","20.8","33.9","33.8","Main"
"Jaxon Smith-Njigba","WR","SEA","@TEN","22.4","19.1","21.1","14.5","17.8","21.1","38.3","33.5","Main"
"Bijan Robinson","RB","ATL","@NO","22.1","19.5","21.2","16.0","18.5","21.1","35.4","32.1","Main"
"Josh Allen","QB","BUF","@HOU","21.8","21.6","22.9","20.4","20.4","20.4","33.2","33.2","Thursday"
"Jalen Hurts","QB","PHI","@DAL","21.8","21.5","23.0","20.5","20.5","20.5","33.1","33.0","Main"
"Lamar Jackson","QB","BAL","NYJ","21.5","21.2","22.8","20.3","20.3","20.3","32.9","32.8","Main"
"Brock Purdy","QB","SF","CAR","21.5","21.3","22.6","19.7","19.7","19.7","32.5","32.5","Monday"
"Jonathan Taylor","RB","IND","@KC","21.1","19.6","20.0","17.1","18.5","19.9","35.9","34.1","Main"
"Jared Goff","QB","DET","NYG","20.9","20.8","22.1","19.3","19.3","19.3","32.1","32.1","Main"
"Matthew Stafford","QB","LA","TB","20.8","20.6","21.9","18.9","18.9","18.9","31.5","31.5","Sunday"
"Trey McBride","TE","ARI","JAX","20.0","16.3","22.9","11.6","15.3","19.1","33.3","27.8","Main"
"Jacoby Brissett","QB","ARI","JAX","19.0","18.8","20.2","17.3","17.3","17.3","29.4","29.3","Main"
"Saquon Barkley","RB","PHI","@DAL","19.0","17.5","18.0","15.1","16.5","17.8","32.2","30.4","Main"
"Derrick Henry","RB","BAL","NYJ","18.8","18.1","17.7","16.4","17.0","17.6","32.8","31.9","Main"
"Caleb Williams","QB","CHI","PIT","18.8","18.5","19.9","17.4","17.4","17.4","29.2","29.1","Main"
"Chase Brown","RB","CIN","NE","18.8","16.3","18.3","13.4","15.8","18.2","31.7","28.6","Main"
"Rico Dowdle","RB","CAR","@SF","18.7","16.9","17.8","14.4","16.0","17.6","31.9","29.8","Monday"
"CeeDee Lamb","WR","DAL","PHI","18.7","15.3","17.7","11.0","14.3","17.7","32.7","27.8","Main"
"Rashee Rice","WR","KC","IND","18.7","15.2","18.0","11.0","14.4","17.9","32.6","27.7","Main"
"Dak Prescott","QB","DAL","PHI","18.6","18.4","19.6","16.8","16.8","16.8","28.9","28.9","Main"
"James Cook","RB","BUF","@HOU","18.5","17.3","17.5","15.3","16.3","17.4","31.5","30.1","Thursday"
"Davante Adams","WR","LA","TB","18.2","15.5","17.4","12.0","14.7","17.4","32.9","28.9","Sunday"
"Trevor Lawrence","QB","JAX","@ARI","18.0","17.8","19.2","16.7","16.7","16.7","28.1","28.0","Main"
"Baker Mayfield","QB","TB","@LA","18.0","17.8","19.0","16.4","16.4","16.4","27.9","27.8","Sunday"
"Sam Darnold","QB","SEA","@TEN","17.8","17.6","19.0","16.5","16.5","16.5","28.3","28.2","Main"
"Daniel Jones","QB","IND","@KC","17.2","17.0","18.3","15.5","15.5","15.5","27.2","27.1","Main"
"George Pickens","WR","DAL","PHI","17.1","14.3","16.3","10.8","13.6","16.3","31.0","26.9","Main"
"Tee Higgins","WR","CIN","NE","17.0","14.2","16.2","10.5","13.4","16.2","30.6","26.4","Main"
"Emeka Egbuka","WR","TB","@LA","16.9","14.1","16.2","10.6","13.4","16.2","30.4","26.2","Sunday"
"Joe Flacco","QB","CIN","NE","16.8","16.6","17.7","14.9","14.9","14.9","26.5","26.4","Main"
"Jordan Love","QB","GB","MIN","16.7","16.5","17.9","15.5","15.5","15.5","26.2","26.2","Main"
"Emanuel Wilson","RB","GB","MIN","16.6","15.3","15.8","13.3","14.5","15.7","29.2","27.6","Main"
"Mason Rudolph","QB","PIT","@CHI","16.4","16.2","17.4","14.9","14.9","14.9","25.7","25.7","Main"
"TreVeyon Henderson","RB","NE","@CIN","16.2","14.7","15.7","12.7","14.2","15.6","28.8","26.8","Main"
"Ashton Jeanty","RB","LV","CLE","16.1","14.3","15.6","12.3","13.9","15.5","27.5","25.3","Main"
"Jameis Winston","QB","NYG","@DET","15.9","15.6","16.8","14.2","14.2","14.2","25.4","25.4","Main"
"Tetairoa McMillan","WR","CAR","@SF","15.6","13.0","14.9","9.7","12.3","14.9","28.6","24.7","Monday"
"Nico Collins","WR","HOU","BUF","15.5","12.8","14.8","9.5","12.2","14.8","28.4","24.4","Thursday"
"Bryce Young","QB","CAR","@SF","15.4","15.2","16.4","14.1","14.1","14.1","24.5","24.4","Monday"
"Javonte Williams","RB","DAL","PHI","15.4","14.2","14.7","12.5","13.5","14.5","27.6","26.2","Main"
"Brock Bowers","TE","LV","CLE","15.3","12.5","17.7","9.1","12.0","14.8","26.8","22.5","Main"
"Chris Olave","WR","NO","ATL","15.3","12.7","14.7","9.4","12.0","14.7","27.9","23.9","Main"
"Kyren Williams","RB","LA","TB","15.2","14.0","14.8","12.5","13.6","14.7","27.6","26.0","Sunday"
"Jameson Williams","WR","DET","NYG","15.1","13.0","14.5","10.2","12.3","14.5","29.1","25.7","Main"
"Zay Flowers","WR","BAL","NYJ","14.9","12.4","14.3","9.4","11.9","14.3","27.7","24.0","Main"
"Davis Mills","QB","HOU","BUF","14.9","14.6","15.9","13.4","13.4","13.4","24.0","24.0","Thursday"
"Stefon Diggs","WR","NE","@CIN","14.9","12.3","14.4","9.2","11.8","14.4","27.9","24.0","Main"
"David Montgomery","RB","DET","NYG","14.8","13.8","14.3","12.5","13.4","14.2","27.2","26.0","Main"
"AJ Brown","WR","PHI","@DAL","14.8","12.3","14.2","9.2","11.7","14.2","27.8","24.1","Main"
"Jaylen Warren","RB","PIT","@CHI","14.8","13.7","14.3","12.0","13.1","14.2","26.6","25.1","Main"
"D'Andre Swift","RB","CHI","PIT","14.7","13.4","14.3","11.8","13.0","14.3","26.7","25.0","Main"
"Aaron Jones","RB","MIN","@GB","14.7","13.0","14.2","10.9","12.5","14.1","25.7","23.4","Main"
"Tyler Shough","QB","NO","ATL","14.5","14.3","15.5","13.2","13.2","13.2","23.9","23.8","Main"
"Geno Smith","QB","LV","CLE","14.4","14.1","15.4","13.1","13.1","13.1","23.1","23.0","Main"
"Breece Hall","RB","NYJ","@BAL","14.4","13.0","13.9","11.3","12.6","13.8","25.3","23.5","Main"
"Michael Wilson","WR","ARI","JAX","14.3","11.8","13.8","8.7","11.2","13.7","26.7","22.9","Main"
"Justin Jefferson","WR","MIN","@GB","14.3","11.8","13.8","8.7","11.2","13.8","26.5","22.6","Main"
"Wan'Dale Robinson","WR","NYG","@DET","14.3","11.5","13.8","8.2","11.0","13.8","26.0","22.0","Main"
"Alvin Kamara","RB","NO","ATL","14.2","12.7","13.8","11.0","12.3","13.7","25.1","23.2","Main"
"DeVonta Smith","WR","PHI","@DAL","14.2","11.7","13.6","8.7","11.1","13.6","26.8","23.0","Main"
"JJ McCarthy","QB","MIN","@GB","13.9","13.6","14.9","12.6","12.6","12.6","22.4","22.4","Main"
"Tyrod Taylor","QB","NYJ","@BAL","13.9","13.6","14.8","12.6","12.6","12.6","22.2","22.1","Main"
